Rank,Name,Episodes,Tags,Rating
7875,Yu-Gi-Oh! GX,longseries,"At the island-based Duel Academy, young potential duelists gain the skills they need to become a top notch duelist. The students are divided into three classes named after the three Egyptian god cards: the top ranked Obelisk Blue, average Ra Yellow, and beginner Slifer Red. Jaden Yuki is currently a student at the academy, and is a huge fan of the famous Yugi Mutou. Though Jaden must start off slowly in the Slifer Red class, his goal is impressive: to become the next King of Games! Together with Syrus, Chumley, and Bastion, their dueling matches will draw them into the shadow realm, and into trouble. Jaden and the gang must do the only thing possible: get their game on! KazukiTakahashi Sci Fi Shounen Card Battles High Stakes Games School Life Tournaments Based on a Manga 2004",3.35
7876,Blue Drop,miniseries,"Mari Wakatake is the sole survivor of an apparent island tsunami disaster that took place five years ago; she has been raised and schooled by her grandmother from that day. But now, she has been sent off to a boarding school in order to grow and make new relationships; and it is there that she meets Senkouji Hagino, a mysterious girl who is liked by everyone – everyone except for Mari. But Mari soon discovers that Hagino is not what she seems to be, and as Mari struggles to figure out Hagino and fit in at school, an alien race is maneuvering in the shadows for their conquest of an unsuspecting Earth. Little does Hagino know that she herself holds the key to the truth of Maris past, as well as the key to her future. AkihitoYoshitomi Action GL Sci Fi Shoujo-ai Shounen Aliens Interspecies Relationship LGBT Themes Non-Human Protagonists Based on a Manga Mature Themes, Physical Abuse 2007",3.35
7877,kemu: Haikei Doppelganger,movie,No synopsis yet - check back soon! Kemu Vocaloid 2017,3.35
7878,Otona no Ikkyuu-san,miniseries,No synopsis yet - check back soon! MomokoFujiwara Comedy Historical Short Episodes 2016,3.35
7879,Magical Hat,longseries,"A long time ago, there was a hero who fought against a king of Devildom, who had conspired to disturb the peace on earth. The legendary hero was called Magical Hat. According to the legend, the hero defeated the king with his supernatural power and sealed the Devildom under the Uson Island. There is a boy called Hat, whose parents have researched on the vanished Devildom. To continue their research, Hat and his parents visit a huge hole located in the center of the Uson Island. Suddenly, an earthquake hits the island and Hat falls into the hole. There, Hat finds himself in the Devildom and discovers a truth; he is the descendant of Magical Hat, and has inherited the supernatural power. But the evil king has regained his strength to threaten the peace of the earth once more. Will Hat be able to defeat the king? AkiraShigino Adventure Comedy Fantasy Family Friendly Original Work 1989",3.35
7880,ClassicaLoid 2nd Season,longseries,"The second season of ClassicaLoid reunites Kanae with her least favorite musical house guests, along with two NEW ClassicaLoids. What new realities will these ClassicaLoids compose with their Musik? KeiUmahiki Comedy Sci Fi Classical Music Music Original Work 2017",3.35
7882,mothy: Nemurase Hime Kara no Okurimono,movie,No synopsis yet - check back soon! Mothy Vocaloid 2011,3.35
7883,Ace wo Nerae! 2,miniseries,No synopsis yet - check back soon! SumikaYamamoto Shoujo Sports Tennis Based on a Manga 1988,3.35
7884,Dorami-chan: Hello Kyouryuu Kids!!,movie,"To confirm that birds descend from dinosaurs, Dorami and her friends from the 22nd century use a time machine to go millions of years back in time. KeiichiHara Sci Fi Shounen Family Friendly Time Travel Based on a Manga 1993",3.35
7886,Astarotte's Toy,miniseries,"Lotte, the princess of Ygvarland,\xa0hates men - a fact that ordinarily wouldnt be a problem given shes just a child. Theres just one issue: the girl is a succubus that must suck the life seed from the male species or die! Now approaching adulthood, Lotte must learn to tolerate the opposite sex, but\xa0her royal highness\xa0wont have any of it. That is, until Judith, the girls lady-in-waiting, brings Lotte a human boy to the demon world. This unfortunate young man, Naoya, must now open the princesss heart to his gender, but as caring and considerate as he may be, hell certainly have his work cut out for him! YuiHaga Comedy Ecchi Fantasy Romance Seinen Age Gap Demons Person in a Strange World Royalty Tsundere Based on a Manga 2011",3.35
7887,Poka Poka Mori no Rascal,longseries,"Rascal the raccoon lives a happy life with in the Snag Forest, and hes not alone! Alongside his loving parents and friends such as Rocken the skunk, Iggy the mouse and the lovely Rilulu, Rascal will have fun every day in the forest! KenichiNishida Animal Protagonists Anthropomorphic Family Friendly Forest Non-Human Protagonists Short Episodes 2006",3.35
7890,Happy Come Come,movie,"Hiroshi is tired of living alone so he orders a maid robot from a company called Happy Come Come, but ends up with the robot mom Yoshiko instead. Yoshiko acts more motherly than Hiroshis real mother, and over time she is able to heal his heart. YumikoSuda Androids Anime Tamago Robots Shorts 2015",3.35
7891,Doraemon: Boku no Umareta Hi,movie,No synopsis yet - check back soon! HiroshiFujimoto Sci Fi Shounen Cats Family Friendly Non-Human Protagonists Robots Based on a Manga 2002,3.35
7892,Hakaba Kitarou,miniseries,"When the last two remaining members of the Ghost Tribe died, they left with them Kitarou - a one-eyed ghoulish child with a sinister cackle and a penchant for the supernatural. From day to day Kitarou tries his best to fit in at school (while failing miserably), thwart the fiendish schemes of the crude and rude Rat Man, and get the attention of the lovely and kind Neko Girl. with the help of his father-turned-talking-eyeball and his nervous and confused caretaker, Kitarou must learn to be the best Ghost Tribe heir that he can be! KimitoshiChioka Comedy Horror Slice of Life Japanese Mythology Monsters noitaminA Supernatural Youkai 2008",3.35
7894,Taro the Dragon Boy,movie,"Taro is not your usual village boy; a glutton and a sloth, he would rather be out playing with the animals than helping his fellow villagers, including his own grandmother. However, while wrestling with the animals one day a wizard appears and challenges him; and after Taro wins, the wizard gives him a potion that grants him the strength of a hundred men... but the power only works if Taro is helping someone. Shortly after, Taro discovers that his mother may still be alive – though in the form of a dragon due to a curse. Taro now sets forth to try to find his mother, traveling from mountain to mountain, while helping others along the way. KirioUrayama Adventure Fantasy Demons Dragons Based on a Fairy Tale Nudity 1979",3.35
7895,"Doraemon: Boku, Momotarou no Nanna no Sa",movie,No synopsis yet - check back soon! FujikoF.Fujio Adventure Shounen Cats Family Friendly Non-Human Protagonists Robots Based on a Manga 1981,3.35
7897,Mizuiro no One-Piece,movie,No synopsis yet - check back soon! KoujiNanke Family Friendly Minna no Uta 1982,3.35
7899,Sincho.TV CM,movie,No synopsis yet - check back soon! MasanobuHiraoka Commercials No Dialogue Promotional 2012,3.35
7900,Yume wo Kanaeru Zou,movie,"Fumio Fumiyama is an ordinary salaryman who dreams of success. The story follows his journey of self-improvement and attainment of goals — with a little help from Ganesha, the Indian deity that happens to have an elephant head and speak with\xa0a Kansai\xa0accent. KeiyaMizuno Comedy Fantasy Gods Salaryman Based on a Manga 2009",3.35
7901,The Disappearance of Nagato Yuki-chan OVA,movie,No synopsis yet - check back soon! Puyo Romance Seinen Slice of Life Based on a Manga 2015,3.35
7902,Kinnikuman II Sei: Ultimate Muscle 2,miniseries,"Mantaro has made it to the semifinal match of the Chojin Cup. He must now fight Ricardo in a soccer field to advance to the last match. Kevin Mask is also in the semifinals, and must defeat Ilioukhine in an aerial field to advance. These three matches will determine who wins the Chojin Cup. Yudetamago Action Comedy Shounen Sports Hand to Hand Combat Superheroes Tournaments Wrestling 2006",3.35
7903,Animal Yokocho,longseries,"When young Ami-chan and her family moved to a new home, she didn’t know what to expect, but not even in her wildest dreams could she have expected the bizarreness that awaits her. Moving her things into her new room, Ami discovers a pretty little doorway leading into the floor. Surprisingly, three creatures greatly resembling stuffed animals jumped out to greet her! Iyo the bunny, Kenta the bear and Issa the panda claim to be the Happy Aniyoko Trio, and say they live beyond the door in another dimension called Animal Yokocho. From that day forward, the three frequent Ami-chan’s bedroom, bringing with them their annoying antics, strange fun and games, and of course... trouble! RyoMaekawa Comedy Animal Protagonists Anthropomorphic Bears Family Friendly Non-Human Protagonists Rabbits Based on a Manga 2005",3.35
7904,Bayonetta: Bloody Fate,movie,"Twenty years after her awakening, the hottest witch in gaming history is still searching for clues that could help unravel the mysteries of her dark past. Aided in her quest by the clandestine weapon smith Rodin – and his deadly creations: Scarborough Fair – Bayonetta continues to leave a trail of angel corpses in her irresistible wake. Her search for answers leads to encounters with a mysterious – and eerily familiar – little girl, a vengeance-obsessed journalist, and a deadly white-haired beauty that seems to know more about Bayonetta than the witch herself. FuminoriKizaki Action Fantasy Europe Guns Magic Supernatural Superpowers Witches Based on a Video Game Violence 2013",3.35
